rec_id,city,budget,purpose,focus,car_id,car_name,brand_name,energy_type,price,category,range,power,rank,match_score
32,北京,10-20万,家用,"性价比,智能化,动力,价格",6,星瑞,吉利,燃油,131700,轿车,0,140.0,4,7.59
33,北京,10-20万,家用,"性价比,智能化,动力,价格",7,博越L,吉利,燃油,148200,SUV,0,160.0,5,7.06
34,北京,10-20万,家用,"性价比,智能化,动力,价格",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,6,6.52
35,北京,10-20万,家用,"性价比,智能化,动力,价格",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,7,6.19
36,北京,10-20万,家用,"性价比,智能化,动力,价格",11,UNI-V,长安,燃油,124400,轿车,0,138.0,8,5.49
37,北京,10-20万,商务,"价格,空间,智能化,品牌",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,9.0
38,北京,10-20万,商务,"价格,空间,智能化,品牌",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.47
39,北京,10-20万,商务,"价格,空间,智能化,品牌",6,星瑞,吉利,燃油,131700,轿车,0,140.0,3,8.18
40,北京,10-20万,商务,"价格,空间,智能化,品牌",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,4,7.37
41,北京,10-20万,商务,"价格,空间,智能化,品牌",11,UNI-V,长安,燃油,124400,轿车,0,138.0,5,7.02
42,北京,10-20万,商务,"价格,空间,智能化,品牌",13,深蓝SL03,长安,纯电动,169400,轿车,570.0,190.0,6,6.52
43,北京,10-20万,商务,"价格,空间,智能化,品牌",20,欧拉好猫,长城,纯电动,134800,轿车,401.0,105.0,7,5.82
44,北京,10-20万,商务,"价格,空间,智能化,品牌",21,艾瑞泽8,奇瑞,燃油,122900,轿车,0,156.0,8,5.44
45,北京,10-20万,长途,"动力,价格,舒适性,性价比",56,C01,零跑,纯电动,179800,轿车,717.0,200.0,1,8.83
46,北京,10-20万,长途,"动力,价格,舒适性,性价比",57,C11,零跑,纯电动,189800,SUV,650.0,200.0,2,8.59
47,北京,10-20万,长途,"动力,价格,舒适性,性价比",63,GT,哪吒,纯电动,179800,轿车,580.0,170.0,3,8.03
48,北京,10-20万,长途,"动力,价格,舒适性,性价比",13,深蓝SL03,长安,纯电动,169400,轿车,570.0,190.0,4,7.68
49,北京,10-20万,长途,"动力,价格,舒适性,性价比",60,C10,零跑,纯电动,148800,SUV,520.0,160.0,5,7.09
50,北京,10-20万,长途,"动力,价格,舒适性,性价比",40,Mona M03,小鹏,纯电动,154800,轿车,515.0,170.0,6,6.59
51,北京,10-20万,长途,"动力,价格,舒适性,性价比",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,7,6.0
52,北京,10-20万,长途,"动力,价格,舒适性,性价比",59,S01,零跑,纯电动,129800,跑车,510.0,170.0,8,5.58
53,北京,10-20万,越野,"动力,空间,续航,品牌",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,1,8.92
54,北京,10-20万,越野,"动力,空间,续航,品牌",7,博越L,吉利,燃油,148200,SUV,0,160.0,2,8.58
55,北京,10-20万,越野,"动力,空间,续航,品牌",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,3,7.92
56,北京,10-20万,越野,"动力,空间,续航,品牌",12,UNI-K,长安,燃油,167400,SUV,0,233.0,4,7.39
57,北京,10-20万,越野,"动力,空间,续航,品牌",14,深蓝S7,长安,增程,183900,SUV,200.0,160.0,5,7.12
58,北京,10-20万,越野,"动力,空间,续航,品牌",16,哈弗H6,长城,燃油,129350,SUV,0,135.0,6,6.5
59,北京,10-20万,越野,"动力,空间,续航,品牌",17,哈弗枭龙MAX,长城,插电混动,159800,SUV,81.0,150.0,7,5.96
60,北京,10-20万,越野,"动力,空间,续航,品牌",22,瑞虎8 PRO,奇瑞,燃油,156400,SUV,0,187.0,8,5.61
61,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,1,8.82
62,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",5,海豹,比亚迪,纯电动,229800,轿车,550.0,230.0,2,8.6
63,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",18,坦克300,长城,燃油,254800,SUV,0,167.0,3,8.03
64,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",24,星途揽月,奇瑞,燃油,208900,SUV,0,192.0,4,7.61
65,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",35,L6,理想,增程,299800,SUV,130.0,85.0,5,6.83
66,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",36,G6,小鹏,纯电动,236900,SUV,580.0,218.0,6,6.33
67,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",38,P7i,小鹏,纯电动,256900,轿车,706.0,203.0,7,5.97
68,北京,20-30万,通勤,"舒适性,品牌,价格,智能化",41,M5,问界,增程,294800,SUV,200.0,142.0,8,5.36
69,北京,20-30万,家用,"空间,续航,智能化,品牌",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,1,9.13
70,北京,20-30万,家用,"空间,续航,智能化,品牌",5,海豹,比亚迪,纯电动,229800,轿车,550.0,230.0,2,8.31
71,北京,20-30万,家用,"空间,续航,智能化,品牌",18,坦克300,长城,燃油,254800,SUV,0,167.0,3,8.17
72,北京,20-30万,家用,"空间,续航,智能化,品牌",24,星途揽月,奇瑞,燃油,208900,SUV,0,192.0,4,7.59
73,北京,20-30万,家用,"空间,续航,智能化,品牌",35,L6,理想,增程,299800,SUV,130.0,85.0,5,6.93
74,北京,20-30万,家用,"空间,续航,智能化,品牌",36,G6,小鹏,纯电动,236900,SUV,580.0,218.0,6,6.34
75,北京,20-30万,家用,"空间,续航,智能化,品牌",38,P7i,小鹏,纯电动,256900,轿车,706.0,203.0,7,5.96
76,北京,20-30万,家用,"空间,续航,智能化,品牌",41,M5,问界,增程,294800,SUV,200.0,142.0,8,5.58
77,北京,20-30万,商务,"品牌,性价比,空间,舒适性",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,1,9.08
78,北京,20-30万,商务,"品牌,性价比,空间,舒适性",5,海豹,比亚迪,纯电动,229800,轿车,550.0,230.0,2,8.36
79,北京,20-30万,商务,"品牌,性价比,空间,舒适性",38,P7i,小鹏,纯电动,256900,轿车,706.0,203.0,3,7.94
80,北京,20-30万,商务,"品牌,性价比,空间,舒适性",47,007,极氪,纯电动,264000,轿车,688.0,229.0,4,7.34
81,北京,20-30万,商务,"品牌,性价比,空间,舒适性",66,SU7,小米,纯电动,257900,轿车,700.0,220.0,5,6.94
82,北京,20-30万,商务,"品牌,性价比,空间,舒适性",76,凯美瑞,丰田,燃油,208300,轿车,0,152.0,6,6.58
83,北京,20-30万,商务,"品牌,性价比,空间,舒适性",80,亚洲龙,丰田,油电混动,239800,轿车,0,131.0,7,6.15
84,北京,20-30万,商务,"品牌,性价比,空间,舒适性",81,雅阁,本田,油电混动,209800,轿车,0,143.0,8,5.5
85,北京,20-30万,长途,"动力,性价比,空间,续航",69,YU7,小米,纯电动,289900,SUV,830.0,320.0,1,8.89
86,北京,20-30万,长途,"动力,性价比,空间,续航",38,P7i,小鹏,纯电动,256900,轿车,706.0,203.0,2,8.69
87,北京,20-30万,长途,"动力,性价比,空间,续航",66,SU7,小米,纯电动,257900,轿车,700.0,220.0,3,8.05
88,北京,20-30万,长途,"动力,性价比,空间,续航",47,007,极氪,纯电动,264000,轿车,688.0,229.0,4,7.44
89,北京,20-30万,长途,"动力,性价比,空间,续航",48,X,极氪,纯电动,219000,SUV,670.0,200.0,5,7.1
90,北京,20-30万,长途,"动力,性价比,空间,续航",49,X YOU,极氪,纯电动,264000,SUV,670.0,200.0,6,6.51
91,北京,20-30万,长途,"动力,性价比,空间,续航",42,M5 EV,问界,纯电动,279800,SUV,620.0,165.0,7,5.81
92,北京,20-30万,长途,"动力,性价比,空间,续航",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,8,5.54
93,北京,20-30万,越野,"价格,舒适性,动力,性价比",18,坦克300,长城,燃油,254800,SUV,0,167.0,1,8.87
94,北京,20-30万,越野,"价格,舒适性,动力,性价比",24,星途揽月,奇瑞,燃油,208900,SUV,0,192.0,2,8.69
95,北京,20-30万,越野,"价格,舒适性,动力,性价比",35,L6,理想,增程,299800,SUV,130.0,85.0,3,8.01
96,北京,20-30万,越野,"价格,舒适性,动力,性价比",36,G6,小鹏,纯电动,236900,SUV,580.0,218.0,4,7.3
97,北京,20-30万,越野,"价格,舒适性,动力,性价比",41,M5,问界,增程,294800,SUV,200.0,142.0,5,6.95
98,北京,20-30万,越野,"价格,舒适性,动力,性价比",42,M5 EV,问界,纯电动,279800,SUV,620.0,165.0,6,6.31
99,北京,20-30万,越野,"价格,舒适性,动力,性价比",48,X,极氪,纯电动,219000,SUV,670.0,200.0,7,6.16
100,北京,20-30万,越野,"价格,舒适性,动力,性价比",49,X YOU,极氪,纯电动,264000,SUV,670.0,200.0,8,5.53
101,北京,30万以上,通勤,"续航,性价比,品牌,智能化",10,极氪001,吉利,纯电动,319000,轿车,741.0,310.0,1,9.0
102,北京,30万以上,通勤,"续航,性价比,品牌,智能化",19,坦克500,长城,油电混动,365000,SUV,0,180.0,2,8.51
103,北京,30万以上,通勤,"续航,性价比,品牌,智能化",26,ET5,蔚来,纯电动,323300,轿车,550.0,300.0,3,8.19
104,北京,30万以上,通勤,"续航,性价比,品牌,智能化",27,ET7,蔚来,纯电动,497000,轿车,675.0,360.0,4,7.34
105,北京,30万以上,通勤,"续航,性价比,品牌,智能化",28,ES6,蔚来,纯电动,402000,SUV,625.0,400.0,5,7.07
106,北京,30万以上,通勤,"续航,性价比,品牌,智能化",29,ES8,蔚来,纯电动,587000,SUV,580.0,400.0,6,6.36
107,北京,30万以上,通勤,"续航,性价比,品牌,智能化",30,全新蔚来ES6,蔚来,纯电动,402000,SUV,625.0,400.0,7,5.95
108,北京,30万以上,通勤,"续航,性价比,品牌,智能化",31,L7,理想,增程,349800,SUV,210.0,110.0,8,5.37
109,北京,30万以上,家用,"性价比,舒适性,续航,智能化",10,极氪001,吉利,纯电动,319000,轿车,741.0,310.0,1,8.86
110,北京,30万以上,家用,"性价比,舒适性,续航,智能化",19,坦克500,长城,油电混动,365000,SUV,0,180.0,2,8.63
111,北京,30万以上,家用,"性价比,舒适性,续航,智能化",26,ET5,蔚来,纯电动,323300,轿车,550.0,300.0,3,7.81
112,北京,30万以上,家用,"性价比,舒适性,续航,智能化",27,ET7,蔚来,纯电动,497000,轿车,675.0,360.0,4,7.32
113,北京,30万以上,家用,"性价比,舒适性,续航,智能化",28,ES6,蔚来,纯电动,402000,SUV,625.0,400.0,5,7.02
114,北京,30万以上,家用,"性价比,舒适性,续航,智能化",29,ES8,蔚来,纯电动,587000,SUV,580.0,400.0,6,6.68
115,北京,30万以上,家用,"性价比,舒适性,续航,智能化",30,全新蔚来ES6,蔚来,纯电动,402000,SUV,625.0,400.0,7,6.18
116,北京,30万以上,家用,"性价比,舒适性,续航,智能化",31,L7,理想,增程,349800,SUV,210.0,110.0,8,5.62
117,北京,30万以上,商务,"智能化,动力,价格,品牌",10,极氪001,吉利,纯电动,319000,轿车,741.0,310.0,1,9.07
118,北京,30万以上,商务,"智能化,动力,价格,品牌",26,ET5,蔚来,纯电动,323300,轿车,550.0,300.0,2,8.54
119,北京,30万以上,商务,"智能化,动力,价格,品牌",27,ET7,蔚来,纯电动,497000,轿车,675.0,360.0,3,7.87
120,北京,30万以上,商务,"智能化,动力,价格,品牌",34,MEGA,理想,纯电动,579800,MPV,700.0,230.0,4,7.34
121,北京,30万以上,商务,"智能化,动力,价格,品牌",39,X9,小鹏,纯电动,389900,MPV,702.0,230.0,5,6.88
122,北京,30万以上,商务,"智能化,动力,价格,品牌",44,M8,问界,增程,379800,MPV,200.0,140.0,6,6.36
123,北京,30万以上,商务,"智能化,动力,价格,品牌",46,001,极氪,纯电动,319000,轿车,741.0,310.0,7,6.05
124,北京,30万以上,商务,"智能化,动力,价格,品牌",50,001 FR,极氪,纯电动,789000,轿车,550.0,1247.0,8,5.43
125,北京,30万以上,长途,"性价比,舒适性,智能化,空间",70,YU7 Pro,小米,纯电动,364900,SUV,830.0,320.0,1,9.11
126,北京,30万以上,长途,"性价比,舒适性,智能化,空间",10,极氪001,吉利,纯电动,319000,轿车,741.0,310.0,2,8.68
127,北京,30万以上,长途,"性价比,舒适性,智能化,空间",46,001,极氪,纯电动,319000,轿车,741.0,310.0,3,8.07
128,北京,30万以上,长途,"性价比,舒适性,智能化,空间",128,Model S,特斯拉,纯电动,853900,轿车,715.0,371.0,4,7.33
129,北京,30万以上,长途,"性价比,舒适性,智能化,空间",37,G9,小鹏,纯电动,389900,SUV,702.0,316.0,5,6.9
130,北京,30万以上,长途,"性价比,舒适性,智能化,空间",39,X9,小鹏,纯电动,389900,MPV,702.0,230.0,6,6.36
131,北京,30万以上,长途,"性价比,舒适性,智能化,空间",34,MEGA,理想,纯电动,579800,MPV,700.0,230.0,7,6.18
132,北京,30万以上,长途,"性价比,舒适性,智能化,空间",67,SU7 Max,小米,纯电动,334900,轿车,700.0,425.0,8,5.5
133,北京,30万以上,越野,"品牌,价格,动力,性价比",19,坦克500,长城,油电混动,365000,SUV,0,180.0,1,9.17
134,北京,30万以上,越野,"品牌,价格,动力,性价比",28,ES6,蔚来,纯电动,402000,SUV,625.0,400.0,2,8.67
135,北京,30万以上,越野,"品牌,价格,动力,性价比",29,ES8,蔚来,纯电动,587000,SUV,580.0,400.0,3,8.12
136,北京,30万以上,越野,"品牌,价格,动力,性价比",30,全新蔚来ES6,蔚来,纯电动,402000,SUV,625.0,400.0,4,7.66
137,北京,30万以上,越野,"品牌,价格,动力,性价比",31,L7,理想,增程,349800,SUV,210.0,110.0,5,7.08
138,北京,30万以上,越野,"品牌,价格,动力,性价比",32,L8,理想,增程,369800,SUV,210.0,110.0,6,6.64
139,北京,30万以上,越野,"品牌,价格,动力,性价比",33,L9,理想,增程,444800,SUV,210.0,110.0,7,5.84
140,北京,30万以上,越野,"品牌,价格,动力,性价比",37,G9,小鹏,纯电动,389900,SUV,702.0,316.0,8,5.51
141,上海,5-10万,通勤,"舒适性,智能化,品牌,性价比",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.08
142,上海,5-10万,通勤,"舒适性,智能化,品牌,性价比",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.51
143,上海,5-10万,通勤,"舒适性,智能化,品牌,性价比",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,8.1
144,上海,5-10万,通勤,"舒适性,智能化,品牌,性价比",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.56
145,上海,5-10万,家用,"智能化,动力,续航,空间",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.11
146,上海,5-10万,家用,"智能化,动力,续航,空间",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.42
147,上海,5-10万,家用,"智能化,动力,续航,空间",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,8.05
148,上海,5-10万,家用,"智能化,动力,续航,空间",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.46
149,上海,5-10万,商务,"品牌,价格,空间,性价比",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.0
150,上海,5-10万,商务,"品牌,价格,空间,性价比",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.43
151,上海,5-10万,商务,"品牌,价格,空间,性价比",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,7.99
152,上海,5-10万,商务,"品牌,价格,空间,性价比",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.46
153,上海,5-10万,长途,"性价比,品牌,动力,价格",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,1,9.01
154,上海,5-10万,长途,"性价比,品牌,动力,价格",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,2,8.32
155,上海,5-10万,长途,"性价比,品牌,动力,价格",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,3,8.18
156,上海,5-10万,长途,"性价比,品牌,动力,价格",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,4,7.42
157,上海,5-10万,越野,"动力,舒适性,性价比,价格",15,逸动PLUS,长安,燃油,92400,轿车,0,118.0,1,9.01
158,上海,5-10万,越野,"动力,舒适性,性价比,价格",58,T03,零跑,纯电动,79800,轿车,403.0,95.0,2,8.32
159,上海,5-10万,越野,"动力,舒适性,性价比,价格",61,S,哪吒,纯电动,79800,轿车,318.0,70.0,3,7.92
160,上海,5-10万,越野,"动力,舒适性,性价比,价格",64,AYA,哪吒,纯电动,74800,轿车,318.0,70.0,4,7.38
161,上海,10-20万,通勤,"价格,品牌,舒适性,空间",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,9.1
162,上海,10-20万,通勤,"价格,品牌,舒适性,空间",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.51
163,上海,10-20万,通勤,"价格,品牌,舒适性,空间",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,3,7.87
164,上海,10-20万,通勤,"价格,品牌,舒适性,空间",6,星瑞,吉利,燃油,131700,轿车,0,140.0,4,7.45
165,上海,10-20万,通勤,"价格,品牌,舒适性,空间",7,博越L,吉利,燃油,148200,SUV,0,160.0,5,7.08
166,上海,10-20万,通勤,"价格,品牌,舒适性,空间",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,6,6.66
167,上海,10-20万,通勤,"价格,品牌,舒适性,空间",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,7,5.84
168,上海,10-20万,通勤,"价格,品牌,舒适性,空间",11,UNI-V,长安,燃油,124400,轿车,0,138.0,8,5.68
169,上海,10-20万,家用,"空间,舒适性,动力,价格",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,9.09
170,上海,10-20万,家用,"空间,舒适性,动力,价格",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.5
171,上海,10-20万,家用,"空间,舒适性,动力,价格",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,3,8.03
172,上海,10-20万,家用,"空间,舒适性,动力,价格",6,星瑞,吉利,燃油,131700,轿车,0,140.0,4,7.55
173,上海,10-20万,家用,"空间,舒适性,动力,价格",7,博越L,吉利,燃油,148200,SUV,0,160.0,5,6.82
174,上海,10-20万,家用,"空间,舒适性,动力,价格",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,6,6.45
175,上海,10-20万,家用,"空间,舒适性,动力,价格",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,7,6.16
176,上海,10-20万,家用,"空间,舒适性,动力,价格",11,UNI-V,长安,燃油,124400,轿车,0,138.0,8,5.35
177,上海,10-20万,商务,"智能化,价格,续航,动力",1,秦PLUS,比亚迪,插电混动,139800,轿车,120.0,132.0,1,9.19
178,上海,10-20万,商务,"智能化,价格,续航,动力",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,2,8.69
179,上海,10-20万,商务,"智能化,价格,续航,动力",6,星瑞,吉利,燃油,131700,轿车,0,140.0,3,8.13
180,上海,10-20万,商务,"智能化,价格,续航,动力",8,帝豪L Hi·P,吉利,插电混动,160800,轿车,100.0,135.0,4,7.45
181,上海,10-20万,商务,"智能化,价格,续航,动力",11,UNI-V,长安,燃油,124400,轿车,0,138.0,5,7.14
182,上海,10-20万,商务,"智能化,价格,续航,动力",13,深蓝SL03,长安,纯电动,169400,轿车,570.0,190.0,6,6.32
183,上海,10-20万,商务,"智能化,价格,续航,动力",20,欧拉好猫,长城,纯电动,134800,轿车,401.0,105.0,7,5.86
184,上海,10-20万,商务,"智能化,价格,续航,动力",21,艾瑞泽8,奇瑞,燃油,122900,轿车,0,156.0,8,5.4
185,上海,10-20万,长途,"智能化,空间,舒适性,性价比",56,C01,零跑,纯电动,179800,轿车,717.0,200.0,1,9.08
186,上海,10-20万,长途,"智能化,空间,舒适性,性价比",57,C11,零跑,纯电动,189800,SUV,650.0,200.0,2,8.66
187,上海,10-20万,长途,"智能化,空间,舒适性,性价比",63,GT,哪吒,纯电动,179800,轿车,580.0,170.0,3,7.92
188,上海,10-20万,长途,"智能化,空间,舒适性,性价比",13,深蓝SL03,长安,纯电动,169400,轿车,570.0,190.0,4,7.68
189,上海,10-20万,长途,"智能化,空间,舒适性,性价比",60,C10,零跑,纯电动,148800,SUV,520.0,160.0,5,7.06
190,上海,10-20万,长途,"智能化,空间,舒适性,性价比",40,Mona M03,小鹏,纯电动,154800,轿车,515.0,170.0,6,6.67
191,上海,10-20万,长途,"智能化,空间,舒适性,性价比",2,秦PLUS EV,比亚迪,纯电动,134800,轿车,510.0,135.0,7,5.96
192,上海,10-20万,长途,"智能化,空间,舒适性,性价比",59,S01,零跑,纯电动,129800,跑车,510.0,170.0,8,5.3
193,上海,10-20万,越野,"品牌,空间,动力,续航",4,宋PLUS DM-i,比亚迪,插电混动,174800,SUV,110.0,145.0,1,9.13
194,上海,10-20万,越野,"品牌,空间,动力,续航",7,博越L,吉利,燃油,148200,SUV,0,160.0,2,8.5
195,上海,10-20万,越野,"品牌,空间,动力,续航",9,银河L7,吉利,插电混动,162200,SUV,115.0,120.0,3,8.04
196,上海,10-20万,越野,"品牌,空间,动力,续航",12,UNI-K,长安,燃油,167400,SUV,0,233.0,4,7.55
197,上海,10-20万,越野,"品牌,空间,动力,续航",14,深蓝S7,长安,增程,183900,SUV,200.0,160.0,5,6.96
198,上海,10-20万,越野,"品牌,空间,动力,续航",16,哈弗H6,长城,燃油,129350,SUV,0,135.0,6,6.58
199,上海,10-20万,越野,"品牌,空间,动力,续航",17,哈弗枭龙MAX,长城,插电混动,159800,SUV,81.0,150.0,7,5.98
200,上海,10-20万,越野,"品牌,空间,动力,续航",22,瑞虎8 PRO,奇瑞,燃油,156400,SUV,0,187.0,8,5.57
201,上海,20-30万,通勤,"空间,价格,舒适性,品牌",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,1,8.85
202,上海,20-30万,通勤,"空间,价格,舒适性,品牌",5,海豹,比亚迪,纯电动,229800,轿车,550.0,230.0,2,8.66
203,上海,20-30万,通勤,"空间,价格,舒适性,品牌",18,坦克300,长城,燃油,254800,SUV,0,167.0,3,8.0
204,上海,20-30万,通勤,"空间,价格,舒适性,品牌",24,星途揽月,奇瑞,燃油,208900,SUV,0,192.0,4,7.37
205,上海,20-30万,通勤,"空间,价格,舒适性,品牌",35,L6,理想,增程,299800,SUV,130.0,85.0,5,6.93
206,上海,20-30万,通勤,"空间,价格,舒适性,品牌",36,G6,小鹏,纯电动,236900,SUV,580.0,218.0,6,6.68
207,上海,20-30万,通勤,"空间,价格,舒适性,品牌",38,P7i,小鹏,纯电动,256900,轿车,706.0,203.0,7,5.9
208,上海,20-30万,通勤,"空间,价格,舒适性,品牌",41,M5,问界,增程,294800,SUV,200.0,142.0,8,5.57
209,上海,20-30万,家用,"品牌,动力,智能化,性价比",3,汉EV,比亚迪,纯电动,274800,轿车,605.0,180.0,1,8.91
210,上海,20-30万,家用,"品牌,动力,智能化,性价比",5,海豹,比亚迪,纯电动,229800,轿车,550.0,230.0,2,8.53
211,上海,20-30万,家用,"品牌,动力,智能化,性价比",18,坦克300,长城,燃油,254800,SUV,0,167.0,3,7.84
